id,address,city,description,latitude,longitude,price,state,street,title,totalScore,categories,image_url
208,"1st floor, Snow city, Fun World Complex, Jayamahal Main Rd, opposite TV Tower, J.C.Nagar, Bengaluru, Karnataka 560006, India",Bengaluru,"Ice & snow-themed indoor amusement park featuring frozen slides, rides & other family activities.",13.0057596,77.5920609,,Karnataka,"1st floor, Snow city, Fun World Complex, Jayamahal Main Rd, opposite TV Tower",Snow City,4.0,"Tourist attraction, Amusement park, Indoor snowcenter","https://lh5.googleusercontent.com/p/AF1QipMaSEKGuKnMkvSU-6tFpgTghkUxjcQbVwQEbAOV=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipOq4G-v0tDw46pU8rf9SR997q2qR0KHET5lJJVL=w1920-h1080-k-no"
209,"2MW9+4HV, Kanaka Sarovara Laek Road,Kalkere Horamavu, Post, Bengaluru, Karnataka 560113, India",Bengaluru,,13.0453625,77.6689182,,Karnataka,"2MW9+4HV, Kanaka Sarovara Laek Road,Kalkere Horamavu, Post",KANAKA SAROVARA LAKE,4.5,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipPYBQLIL8zwaHaqrpjn6mt3DlKjpVSL2GEZoWHC=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipNAP9_wTC2TyvFsgxMsDu2xKBdRZgWT-aTI9KpE=w1920-h1080-k-no"
210,"VJWV+WRG, Hosapalaya, Muneshwara Nagar, Bengaluru, Karnataka 560068, India",Bengaluru,,12.8972258,77.6446291,,Karnataka,VJWV+WRG,Unit-3,,Tourist attraction,
211,"5, Kodichikknahalli, Lake City, Bommanahalli, Bengaluru, Karnataka 560068, India",Bengaluru,,12.8980601,77.6127176,,Karnataka,5,BTM Lake Southern Most Point,2.0,Tourist attraction,
212,"41C Ishavasyam Akshayanagar, post, Begur - Koppa Rd, Akshaya Vana, Bengaluru, Karnataka 560068, India",Bengaluru,,12.8668359,77.6148029,,Karnataka,"41C Ishavasyam Akshayanagar, post, Begur - Koppa Rd",Yelenahalli lake,4.3,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipNC6Ku7I9KElTqoVt_LhyOhR8EqxgEoZA_wrn45=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipOQ182IX3Vl09XhSbvAH_R1t2fpIsh6jztZREIH=w1920-h1080-k-no"
213,"908, 17th Cross Rd, Prasanti Nagar, ISRO Layout, Bengaluru, Karnataka 560078, India",Bengaluru,,12.8955003,77.5591656,,Karnataka,"908, 17th Cross Rd",Dr. APJ Abdul Kalam Park,4.4,"Tourist attraction, Park","https://lh5.googleusercontent.com/p/AF1QipPwMMi2LKfr2tlUNDjvUZASO7qRseX14tRRMf77=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipOr_MiCG7Hwc5J8UuM4sITGJFLUe8Nry81zowqP=w1920-h1080-k-no"
214,"790, 22nd A Cross Rd, Sector 3, HSR Layout, Bengaluru, Karnataka 560102, India",Bengaluru,,12.9087324,77.6406249,,Karnataka,"790, 22nd A Cross Rd",Mithran House,4.0,Tourist attraction,
215,"NGR Layout, Bommanahalli, Bengaluru, Karnataka 560068, India",Bengaluru,,12.9077488,77.6229633,,Karnataka,,SHOBHA K,,Tourist attraction,
216,"654, Near Mahal, Bannerghatta Main Rd, Classic Orchards Layout, Kalena Agrahara, Bengaluru, Karnataka 560076, India",Bengaluru,,12.8748172,77.5942845,,Karnataka,"654, Near Mahal, Bannerghatta Main Rd",Sri Meenakshi Sundareshwara Temple,4.7,"Tourist attraction, Hindu temple","https://lh5.googleusercontent.com/p/AF1QipNCYgLY49BLACF0HSHX7TUBzTCLRxPd68ndVWGu=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipOtFIbz8RnIcvzt6rgcVBdND6tycPDchf5gOVvL=w1920-h1080-k-no"
217,"WM92+RCM, 7th Cross Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India",Bengaluru,,12.919596,77.6510605,,Karnataka,"WM92+RCM, 7th Cross Rd",The Supercar Den,2.0,Tourist attraction,
218,"135, 6th Main Rd, Phase 2, Anugraha Layout, Ramanashree Enclave, Bilekahalli, Bengaluru, Karnataka 560076, India",Bengaluru,,12.9022172,77.61118,,Karnataka,"135, 6th Main Rd",BTM Lake Western Most Point,5.0,Tourist attraction,
219,"5, 10, 16th Cross Rd, Gopalappa Layout, Lakkasandra, Rangaswamy Layout, Wilson Garden, Bengaluru, Karnataka 560030, India",Bengaluru,,12.9424435,77.6004827,,Karnataka,"5, 10, 16th Cross Rd",Travel Station Internet Station,1.0,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipMzlRdOsXsWSvm3ovIgLSZ6Bg6uOnX2J6RydOqw=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipOv7sz8LReIsstuPLAIc3DM0tBXG_HmOai3nxch=w1920-h1080-k-no"
220,"WJCV+RWR, 100 Feet Ring Rd, Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka 560034, India",Bengaluru,,12.9221207,77.6447581,,Karnataka,"WJCV+RWR, 100 Feet Ring Rd",Agara Lake Park Monument,3.3,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipOuCnYU8CaCeHSzGQAbw3poLEyXRHnsjAQql15-=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipPBVdK2ZWVqwVVMj4rQMEUPBvw8-XGIZ5-y4FDK=w1920-h1080-k-no"
221,"No. 3/7-5, 1st floor, 3rd cross, Post, off Hosur Road, Madiwala, Koramangala 2nd Block, Bengaluru, Karnataka 560068, India",Bengaluru,,12.9212248,77.6203471,,Karnataka,"No. 3/7-5, 1st floor, 3rd cross, Post, off Hosur Road",Madiwala footbridge,1.0,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipPOdhuYvmrJRqOrdm7K87IzCEZ7iW0ugpcpjRY7=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipN9QlhGMFGlhZJhODioZ4DMFpV-wI8-3GgUTUMW=w1920-h1080-k-no"
222,"Sector 3, HSR Layout, Bengaluru, Karnataka 560102, India",Bengaluru,,12.9121181,77.6445548,,Karnataka,,Meena Travelbuddy,,Tourist attraction,
223,"WJQG+F2F, 17th D Main Rd, 6th Block, Koramangala, Bengaluru, Karnataka 560095, India",Bengaluru,"Lush, tree-shaded park featuring walking paths & benches, plus a play area & a gazebo.",12.9386949,77.6250547,,Karnataka,"WJQG+F2F, 17th D Main Rd",BBMP Park,4.0,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipP9htczXVXS--KgukFjqdqtgCkZlWseBUcd_6W7=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipMCVGs0ERs3QrC0YExeuLRcT6UDzWsbKWrQ0FwK=w1920-h1080-k-no"
224,"VJHH+35V, Temple Rd, Begur, Bengaluru, Karnataka 560068, India",Bengaluru,,12.8777274,77.6279347,,Karnataka,"VJHH+35V, Temple Rd",Begur Lake,,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipORDt4ZxLtyHi0P1d45nC6VgS85I3rzM6fFpU4=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipM9kRrReUR_IeVF9ZPNylTOrQ52CGMgonF8d6bL=w1920-h1080-k-no"
225,"VJP6+MH2, 5th Main Rd, 2nd Block, BDA Layout BTM 4th Stage, Bengaluru, Karnataka 560076, India",Bengaluru,,12.8866295,77.6113952,,Karnataka,"VJP6+MH2, 5th Main Rd",Car Park 🚗,4.5,Park,"https://lh5.googleusercontent.com/p/AF1QipOAvGyv2WNxvIkiQ7XuenXS0jo85TrnPNon9zKb=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipMtA1K_4RcjZu2kyvwEqPwyqnqTdzjqJmilTbDP=w1920-h1080-k-no"
226,"WJ9P+8JQ, 13th Cross Rd, Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru, Karnataka 560034, India",Bengaluru,,12.9183479,77.6366008,,Karnataka,"WJ9P+8JQ, 13th Cross Rd",BBMP Park Koramangala,4.0,"Tourist attraction, Park","https://lh5.googleusercontent.com/p/AF1QipMRaUr7gHZ8eBPIGWNXdGv1NJWZfxsNR8OIQpgm=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipOI1XYkM4u-taEL5eI-pNK9AcTd9ZCEBAyq6ueD=w1920-h1080-k-no"
227,"WM7G+8WX, Valliyamma Layout, Kaikondrahalli, Bengaluru, Karnataka 560103, India",Bengaluru,,12.9141289,77.6759708,,Karnataka,WM7G+8WX,Kaikondrahalli Lake Walkway,4.4,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipNsMu0Zrec8DJBnPPNwrVW07DpP7ZLgJEVAhnk_=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipPZePYudMwGfM0zf3s9uZhTZAyqw2PuBJanPI6v=w1920-h1080-k-no"
228,"Akshaya Residency, Akshayanagar, Bengaluru, Karnataka 560076, India",Bengaluru,"Centuries-old defence complex built of mud bricks, with a once-ornate temple & carved stone pillars.",12.8708564,77.6224697,,Karnataka,,Begur Fort,3.9,"Tourist attraction, Fortress","https://lh5.googleusercontent.com/p/AF1QipNVZwWU9eTMoO2LlWUamfIS_6rZR-sy729rllhs=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipOI8D6TruOo5-4TzExR-9g-HRtgwmHbWA5aHl6j=w1920-h1080-k-no"
229,"32, 10th Cross Rd, Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India",Bengaluru,,12.9206533,77.6486696,,Karnataka,"32, 10th Cross Rd",One piece,,Tourist attraction,
